ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B08NYPH9FS,negative,not a genuine product,312,92,2,"totally unexpected product quality is not good,product is not good"
B09Q1DBMM6,positive,shown in picture,2895,503,1,the quality is kind of cheap but by looks its gorgeous
B09Q1FYRHD,negative,product not as displayed,120,30,1,product details not matched from website
B0BGFR4NPZ,negative,torned material,959,241,1,its torn
B07CG1WCLM,negative,not as shown in picture,10280,1970,2,"not as show in the picture,item received as different color and different style"
B07DFNS1VK,negative,not as shown in picture,10280,1970,1,product is different than the description
B07DT1ZGQ7,positive,good stitching,166,29,2,"nice stitch,good stitch fine leather"
B07LDS28Y4,negative,not as shown in picture,10280,1970,1,item doesnt match website descriptions facing the product quality issues so want to return the product
B07MJC7FFH,negative,cut mark,178,48,2,"item is damage there are many cuts at bottom side,cut from bottom"
B07NVQ635R,negative,bad finishing,1129,297,1,style and finish not satisfactory
B082RDZZJ1,positive,nice color,1771,253,2,"nice color,good color"
B083XZYY9H,negative,small damage,134,29,3,"my product front side small damage,design is not as exception and also small damage,poor quality and slight damage finish is not good"
B09M9ZGYBF,negative,torn at corners,156,54,1,torn
B09Q1FYRHD,negative,torned material,959,241,1,torn
B0B464X5MJ,negative,used product,992,242,5,"there is thread coming out on side and product looks used,given a used product,used product received,its damaged and used product,product quality is very poor may be used product"
B0BGFR849K,negative,zip quality,1076,247,1,poor zip and strip quality
B07C9X4TSX,negative,strap is broken,569,170,1,the hook that holds the strap is torn on 1 side
B07MY379DC,negative,color not good,3861,866,1,color
B083Y1XPMM,positive,looks sturdy,361,73,1,its not leather and has a strong awful rubber like smell
B09HTYRYLX,negative,stitching is loose,56,15,1,purse had some white spots and stitching loose at places
B09M9YDVF4,negative,size issues,21476,3691,1,bag sling is so small
B07DSY697V,negative,light color,354,90,1,even its too light
B07KSGPXGB,negative,not as shown in picture,10280,1970,3,"not as mentioned in image,see photos,item doesnt match website description"
B083Y1XPMM,negative,no compartments,92,20,3,"no compartments in side,no compartments"
B0999J95YQ,positive,mobile and money,443,152,1,worth of money
B09Q1FX34C,negative,not as shown in picture,10280,1970,7,"doesnt look like the images,quality is not same as shown in picture,small than expected not as shown in pics,different product,item doesnt match website description"
B09Q1G7BT2,negative,space is narrow,429,95,1,in the picture it is narrow but in real ut os too wide
B0B464X5MJ,negative,bad finishing,1129,297,11,"the quality is so poor,finishing is not good,finishing is not good,quality is very poor,very poor quality"
B07BVKZXCV,positive,good compartments,165,23,1,happy with the various compartments
B07LDRT4LK,negative,not as shown in picture,10280,1970,1,item doesnt match website description
B083XZYY9H,positive,good zip,358,58,3,"nice product have a single zip it will be good if it contains multiple zips,as zip quality and design,it was quite uneven but its ok bag was soft and zip quality was also good"
B0999K5S3P,negative,color faded,811,167,2,"color is fully faded and used product,the color is faded"
B0C3YZ6DH6,negative,leather quality,632,140,1,not happy with product quality and leather
B07BVNMPK9,negative,material is not good,4433,960,1,material is of poor quality
B07PNJXQ4J,negative,bad quality,4794,893,3,"quality is not good,quality is not so good,quality is not much good"
B09M9YDVF4,negative,wrinkles on bag,50,16,1,there s marks on the bag
B09M9ZGYBF,negative,leather looks cheap,281,75,1,different n cheap quality bag
B09Q1DT2RW,negative,color not good,3861,866,1,the color design size is just awesome
B09Q1DT2RW,positive,excited to receive this product,405,104,1,i have carried this sling bag on various occasions and everybody loved it
B09Q1FX34C,negative,bag is dull,73,14,1,the base of the bag as shown in the picture was supposed to be flat but what i received was the opposite the cardboard in the base was broken
B09Q1FX34C,negative,useless for purpose,1464,283,2,"not neat,not good"
B07KNS2ZW7,negative,product doesn't look good,8306,1788,2,"does not look good,not good"
B07PNJXQ4J,positive,value for money,7369,1266,1,good for this low price
B082RDZZJ1,negative,bag is faded,138,27,1,the bag is worn out and has blackish spots on it
B09M9ZGYBF,negative,useless for purpose,1464,283,1,not as required
B0B464X5MJ,negative,pocket is torn,115,42,3,"inner pocket is torn,pathetic its used pocket it torn,bag is torn at many places and quality is also bad"
B0C3RFY2BJ,negative,bad finishing,1129,297,1,bad finishing
B07CYZC1YQ,positive,material quality,1741,257,1,good material
B07K5VMPJG,negative,want refund,155,30,1,partial quantity missing ordered for combo of product the received only one please take it and give refund
B07LDT337F,negative,broken item,238,58,1,return this item and refund my money as this item is defective and broken
B07R7LLV77,negative,bag is torn,1189,285,2,"the bag is teared up from top right corner,inside bag clothvis torn out"
B07RZ8KZS9,positive,value for money,7369,1266,5,"good product value for money,still its worth for its price,quality is good compare to price,good quality at reasonable price,good product according to the price"
B083XZYY9H,negative,buckle is not working,35,8,1,handle screw or nut is not fixing with out this we can not use the bag
B09Q1DT2RW,negative,bag is totally damaged,59,10,1,the shape is totally ruined
B09Q1DT2RW,negative,lock of bag,91,39,1,poor lock
B09Q1F3WWH,negative,product doesn't look good,8306,1788,8,"look wise not good,not good,not good,not good,alignment is improper so not in shape and magnet button is also not good i"
B0BN6DD5Z6,negative,size issues,21476,3691,5,"small in size no longer to use,size is very small as expected,size is too small,size is too small,need bigger size"
B07DT1ZGQ7,positive,looks good from outside,152,54,1,good
B07G63DC9Q,negative,color not good,3861,866,1,color got paid
B07J2NZKL3,positive,looks nice,7013,969,3,nice
B082RDZZJ1,positive,soft material,367,44,1,material is not that thick but soft and matt finish so looks nice
B083XZYY9H,negative,bag is torn,1189,285,8,"one of the bags is torn near the hanging chain,the strap of the bag is torn,strap of one bag is teared and damaged,another purse was torn near the stitch,torn n burned bags"
B083XZYY9H,negative,threads coming,299,95,1,the thread are coming out and there no adjustable in sling bag
B09G6XVLFL,negative,doesn't fit properly,1545,527,1,does not look good and quality does not look great
B09HTYRYLX,negative,small damage,134,29,3,"threads were coming out and small damage beside the clip,it has some small damages,the chain is cut and there are a few damages on the product"
B09M9YDVF4,negative,material is not good,4433,960,1,bag looks like old fashion and material quality is too bad
B07DT1ZGQ7,negative,one zip,121,18,1,single zip though
B07MY2FGH2,negative,material is not good,4433,960,1,there is no expected style design also poor
B083XZYY9H,negative,zip quality,1076,247,13,"quality is not good plus the small one has no zip,only single zip worst quality,small cut on big purse near zip,pickup not attempted not as expected zip is large,there is no zip in the bags and also the quality is not that good"
B09HTYRYLX,negative,lock is broken,238,85,5,"the main lock clip is broken,that lock is broken,this products lock is damage,lock is damaged,lock damaged"
B09Q1FYRHD,negative,chain is small,62,19,1,chain is small
B0B464X5MJ,negative,rough material,117,22,1,it is rough in look
B07X89CWXP,negative,not as shown in picture,10280,1970,1,the parcel contained 2 items and one was different
B0999J95YQ,negative,product doesn't look good,8306,1788,2,"does not good look,not good"
B09HTYRYLX,positive,buy without second thought,202,44,2,you can go for it without any hesitation
B09M9YL9WG,negative,product doesn't look good,8306,1788,2,"not good,not good"
B09M9ZGYBF,negative,not leather,624,116,2,"its not a sling bag as mentioned in the description,it is not sling bag"
B0BGFR849K,negative,useless for purpose,1464,283,1,not sufficient
B0C3RD6F92,positive,picture looks good,411,93,1,it looked good in the picture but i received the package the product didnt really please me
B07MQFK89D,negative,stitching is not proper,2146,553,1,stitching is not proper
B0824QS5D8,negative,zip is broken,938,167,2,"damage in the zip and the stiches are been removed,zip broken"
B09M9YDVF4,negative,short strap,268,62,1,very small hanging belt and also the product quality looks cheap
B09Q1DSYNS,negative,stitching is not proper,2146,553,1,the bag is not at all properly stitched
B09Q1FYRHD,negative,quality not worth,464,137,1,quality not good
B07Q4F3YVQ,negative,no lavie,225,68,1,dont need it
B07R7LLV77,negative,product doesn't look good,8306,1788,4,"does not good for me,not good,not nice,not look well over size color not look"
B07RKHYVMC,positive,excited to receive this product,405,104,1,wow
B07RPZB7MY,negative,no brand logo,453,101,1,on website there is design on bag but in actual there is no design
B081L68ST3,negative,product doesn't look good,8306,1788,2,"does not look good,it has small cut on it and skin of the bag is not proper at few places"
B082RDZZJ1,negative,not sturdy,482,105,1,poor quality and less comfort
B083Y1XPMM,positive,thickness is good,29,6,1,value for money thickness is enough
B09Q1HYJ5Y,negative,size issues,21476,3691,1,it looks too small
B09Q1JVKQW,negative,black color,1237,175,1,placed order for black color received white color
B0B464X5MJ,negative,zip is broken,938,167,5,"the zip inside is broken and torn,inside zipper is torn and its damaged,zipper and under material damaged,torn zipper,zipper damaged"
B0BRG92GPP,negative,material is not good,4433,960,1,the product is built up of very poor quality material
B07J2NZKL3,negative,product doesn't look good,8306,1788,4,"not as good as it seems,style is not good,not good stuff,its not good and size is too large"
B07KSH25Q4,negative,waste of money,3189,599,1,you cant get this type of product at this price tag
B07X9D9M6W,negative,no brand logo,453,101,1,no sign of wear
B07X9D9M6W,negative,zip is broken,938,167,1,the zip was broken
B09W2JLNBY,negative,glue marks on the bag,96,33,1,the bag is not stitched and sticked with glue
B0B464X5MJ,negative,product not matching,252,64,1,product does not meet expectations
B07DBBTW4F,negative,looks like hand bag,42,4,1,hello vendor has shown 2 bags set hand bag and sling bag but i have received only one bag hand bag
B07NVMT9XT,negative,not comfortable,621,160,1,no comfortable
B0824QS5D8,negative,only pocket is there,119,19,1,only single pocket inside
B083Y1XPMM,negative,not leather,624,116,4,"it is told leather item but its not leather at all,its not a leather product and it have some scratches,its not leather and has a strong awful rubber like smell,good for cost but its not leather"
B0999J95YQ,negative,no zip,387,96,1,no zip
B09HTYRYLX,negative,small hole in bag,115,31,1,the item is little torned near the lock of the bag
B09Q1FX34C,negative,leather looks cheap,281,75,1,the chain is damaged and the quality is also very cheap
B09Q1JVKQW,negative,size issues,21476,3691,2,"bag is too small,i could carry one pair of sunglasses + specs in one case 2 lipstick hand cream folded shopping bag tiny purse mobile and a small booklet and pen"
B0B464X5MJ,negative,threads coming,299,95,3,"now the threads of this design on the top is coming out and sides,there is thread coming out on side and product looks used,finish is not good and threads are come out"
B07K5VMPJG,negative,small pockets,231,56,1,internal small compartment material and stitching is very poor
B07KSFW8ZM,negative,size issues,21476,3691,1,this bag is stylish nice but it is smaller than i expectation
B07KSJ1TW5,negative,used product,992,242,2,"seller has sent me used products,used product"
B07QPKJZQY,positive,value for money,7369,1266,1,good for the price
B082RDZZJ1,negative,not as shown in picture,10280,1970,6,"not at par as shown in the picture,product doesnt match as it shows in picture,item doesnt match website description,image and received products are different,how amazon do this"
